approach,Pre_ken,Del_ken,Pre_exp,Del_exp
rankingshapK@1,0.402359,-0.705421,1.213871,-0.670497
rankingshapK@3,0.375674,-0.532278,1.173926,-0.93599
rankingshapK@5,0.716832,-0.26147,0.700668,-1.271674
rankingshapK@7,0.739527,-0.258061,0.638115,-1.303085
rankingshapK@10,0.790443,-0.165367,0.498374,-1.438314
rankingshapW@1,0.607455,-0.457423,0.89741,-1.071159
rankingshapW@3,0.708423,-0.278257,0.664625,-1.313407
rankingshapW@5,0.746749,-0.265973,0.611939,-1.287286
rankingshapW@7,0.803139,-0.133836,0.457771,-1.504274
rankingshapW@10,0.833681,-0.119625,0.386495,-1.528568
greedy_iter@1,0.3828,-0.646089,1.204322,-0.796808
greedy_iter@3,0.800179,-0.076526,0.448039,-1.572883
greedy_iter@5,0.91394,-0.149611,0.216714,-1.537211
greedy_iter@7,0.91394,-0.149611,0.216714,-1.537211
greedy_iter@10,0.91394,-0.149611,0.216714,-1.537211
greedy_iter_full@1,0.3828,-0.646089,1.204322,-0.796808
greedy_iter_full@3,0.752653,-0.2638,0.594596,-1.289247
greedy_iter_full@5,0.765281,-0.309438,0.576196,-1.256757
greedy_iter_full@7,0.805946,-0.1262,0.453238,-1.519524
greedy_iter_full@10,0.805946,-0.1262,0.453238,-1.519524
pointwise_lime@1,0.364487,-0.705519,1.268536,-0.672881
pointwise_lime@3,0.457024,-0.551605,1.029458,-0.988882
pointwise_lime@5,0.705346,-0.210361,0.682523,-1.425765
pointwise_lime@7,0.705599,-0.212351,0.679326,-1.422723
pointwise_lime@10,0.745844,-0.175029,0.603156,-1.454799
pointwise_shap@1,0.436969,-0.642175,1.125719,-0.79392
pointwise_shap@3,0.646868,-0.313327,0.817742,-1.257709
pointwise_shap@5,0.733459,-0.248578,0.646223,-1.314456
pointwise_shap@7,0.742336,-0.24779,0.625032,-1.316214
pointwise_shap@10,0.761982,-0.312858,0.581164,-1.249082
random@1,0.169739,-0.833541,1.540054,-0.385735
random@3,0.201874,-0.809779,1.450446,-0.457398
random@5,0.19466,-0.807492,1.455665,-0.465741
random@7,0.314908,-0.760028,1.276304,-0.566933
random@10,0.306709,-0.704904,1.278479,-0.66301
rankinglime@1,0.393994,-0.748686,1.241832,-0.573136
rankinglime@3,0.394972,-0.585052,1.141354,-0.860682
rankinglime@5,0.683191,-0.411849,0.706837,-1.148052
rankinglime@7,0.814993,-0.155385,0.420767,-1.497833
rankinglime@10,0.816308,-0.156136,0.415926,-1.498126
